=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[34.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[34.00] MASTER | DISTRIB | INFO | KV[0024] -> 워커4 배정, 대기열=6/10, 일반
[35.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[35.00] MASTER | DISTRIB | INFO | KV[0025] -> 워커1 배정, 대기열=7/10, 일반
[36.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[36.00] MASTER | DISTRIB | INFO | KV[0026] -> 워커3 배정, 대기열=7/10, 일반
[37.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[37.00] MASTER | DISTRIB | INFO | KV[0027] -> 워커2 배정, 대기열=7/10, 일반
[38.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[38.00] MASTER | DISTRIB | INFO | KV[0028] -> 워커4 배정, 대기열=7/10, 일반
[39.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[39.00] MASTER | DISTRIB | INFO | KV[0029] -> 워커1 배정, 대기열=8/10, 일반
[40.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[40.00] MASTER | DISTRIB | INFO | KV[0030] -> 워커4 배정, 대기열=8/10, 일반
[41.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[41.00] MASTER | DISTRIB | INFO | KV[0031] -> 워커2 배정, 대기열=8/10, 일반
[42.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[42.00] MASTER | DISTRIB | INFO | KV[0032] -> 워커3 배정, 대기열=8/10, 일반
[43.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[43.00] MASTER | DISTRIB | INFO | KV[0033] -> 워커1 배정, 대기열=9/10, 일반
[44.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[44.00] MASTER | DISTRIB | INFO | KV[0034] -> 워커2 배정, 대기열=9/10, 일반
[45.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[45.00] MASTER | DISTRIB | INFO | KV[0035] -> 워커3 배정, 대기열=9/10, 일반
[46.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[46.00] MASTER | DISTRIB | INFO | KV[0036] -> 워커4 배정, 대기열=9/10, 일반
[47.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[47.00] MASTER | DISTRIB | INFO | KV[0037] -> 워커1 배정, 대기열=10/10, 일반
[48.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[48.00] MASTER | DISTRIB | INFO | KV[0038] -> 워커3 배정, 대기열=10/10, 일반
[49.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[49.00] MASTER | DISTRIB | INFO | KV[0039] -> 워커2 배정, 대기열=10/10, 일반
[50.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[50.00] MASTER | DISTRIB | INFO | KV[0040] -> 워커4 배정, 대기열=10/10, 일반
[51.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=START, 통신 지연=1.00초
[52.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=START, 통신 지연=1.00초
[53.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=START, 통신 지연=1.00초
[54.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=START, 통신 지연=1.00초
[55.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
