=== Worker2.txt (Worker Node 2 Log) ===
============================================================
Worker2 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER2 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[10.00] WORKER2 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[13.00] WORKER2 | RECV | INFO | KV[0003] 일반 작업 수신, 대기열=1/10
[17.00] WORKER2 | RECV | INFO | KV[0007] 일반 작업 수신, 대기열=2/10
[20.00] WORKER2 | RECV | INFO | KV[0010] 일반 작업 수신, 대기열=6/10
[25.00] WORKER2 | RECV | INFO | KV[0015] 일반 작업 수신, 대기열=7/10
[29.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0019], 사유=Master 수신, 크기=7->8/10
[29.00] WORKER2 | RECV | INFO | KV[0019] 일반 작업 수신, 대기열=8/10
[29.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0019], 사유=P2P 송신, 크기=8->7/10
[29.00] WORKER2 | LB | INFO | 전송ID=2-1 ACCEPTED 확인, 복원 없이 이전 완료
[32.00] WORKER2 | RECV | INFO | KV[0022] 일반 작업 수신, 대기열=7/10
[37.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0027], 사유=Master 수신, 크기=7->8/10
[37.00] WORKER2 | RECV | INFO | KV[0027] 일반 작업 수신, 대기열=8/10
[37.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0027], 사유=P2P 송신, 크기=8->7/10
[37.00] WORKER2 | LB | INFO | 전송ID=2-2 ACCEPTED 확인, 복원 없이 이전 완료
[41.00] WORKER2 | RECV | INFO | KV[0031] 일반 작업 수신, 대기열=7/10
[44.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0034], 사유=Master 수신, 크기=7->8/10
[44.00] WORKER2 | RECV | INFO | KV[0034] 일반 작업 수신, 대기열=8/10
[44.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0033], 사유=P2P 수신, 크기=8->9/10
[44.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0015], 사유=P2P 수신, 크기=9->10/10
[44.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0015], 사유=P2P 송신, 크기=10->9/10
[44.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0015], 사유=P2P 실패 복원, 크기=9->10/10
[44.00] WORKER2 | LB | INFO | 전송ID=2-3 REJECTED 확인, 작업 복원
[49.00] WORKER2 | QUEUE | FAIL | KV[0039] Queue 초과 거부 (10/10)
[52.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0003], 사유=처리 시작, 크기=10->9/10
[52.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0015], 사유=P2P 송신, 크기=9->8/10
[52.00] WORKER2 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0033], 사유=P2P 송신, 크기=8->7/10
[52.00] WORKER2 | LB | INFO | 전송ID=2-4 ACCEPTED 확인, 복원 없이 이전 완료
[86.00] WORKER2 | RECV | INFO | KV[0068] 일반 작업 수신, 대기열=1/10
[87.00] WORKER2 | RECV | INFO | KV[0069] 일반 작업 수신, 대기열=1/10
[88.00] WORKER2 | RECV | INFO | KV[0070] 일반 작업 수신, 대기열=1/10
[89.00] WORKER2 | RECV | INFO | KV[0071] 일반 작업 수신, 대기열=1/10
[90.00] WORKER2 | RECV | INFO | KV[0072] 일반 작업 수신, 대기열=1/10
[91.00] WORKER2 | RECV | INFO | KV[0073] 일반 작업 수신, 대기열=1/10
