=== Worker4.txt (Worker Node 4 Log) ===
============================================================
Worker4 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER4 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[4.00] WORKER4 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[14.00] WORKER4 | RECV | INFO | KV[0004] 일반 작업 수신, 대기열=1/10
[16.00] WORKER4 | RECV | INFO | KV[0006] 일반 작업 수신, 대기열=2/10
[22.00] WORKER4 | RECV | INFO | KV[0012] 일반 작업 수신, 대기열=3/10
[26.00] WORKER4 | RECV | INFO | KV[0016] 일반 작업 수신, 대기열=4/10
[28.00] WORKER4 | RECV | INFO | KV[0018] 일반 작업 수신, 대기열=5/10
[34.00] WORKER4 | RECV | INFO | KV[0024] 일반 작업 수신, 대기열=6/10
[38.00] WORKER4 | RECV | INFO | KV[0028] 일반 작업 수신, 대기열=7/10
[40.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0030], 사유=Master 수신, 크기=7->8/10
[40.00] WORKER4 | RECV | INFO | KV[0030] 일반 작업 수신, 대기열=8/10
[40.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0030], 사유=P2P 송신, 크기=8->7/10
[40.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0030], 사유=P2P 실패 복원, 크기=7->8/10
[40.00] WORKER4 | LB | INFO | 전송ID=4-1 REJECTED 확인, 작업 복원
[46.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=Master 수신, 크기=8->9/10
[46.00] WORKER4 | RECV | INFO | KV[0036] 일반 작업 수신, 대기열=9/10
[46.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0036], 사유=P2P 송신, 크기=9->8/10
[46.00] WORKER4 | LB | INFO | 전송ID=4-2 ACCEPTED 확인, 복원 없이 이전 완료
[50.00] WORKER4 | QUEUE | WARN | 대기열 70% 초과 구간 변경, KV[0040], 사유=Master 수신, 크기=8->9/10
[50.00] WORKER4 | RECV | INFO | KV[0040] 일반 작업 수신, 대기열=9/10
