=== Worker3.txt (Worker Node 3 Log) ===
============================================================
Worker3 | Thread-based Worker | Ready Queue max=10
============================================================

[521.31] WORKER3 | RECV | INFO | KV[0325] 일반 작업 수신, 대기열=1/10
[522.31] WORKER3 | RECV | INFO | KV[0326] 일반 작업 수신, 대기열=1/10
[523.31] WORKER3 | RECV | INFO | KV[0327] 일반 작업 수신, 대기열=1/10
[527.63] WORKER3 | PROC | FAIL | KV[0002] 처리 실패, 20% 규칙
[532.45] WORKER3 | PROC | SUCCESS | KV[0008] 저장 완료, 처리=1.82초, 대기=0.00초
[537.93] WORKER3 | PROC | SUCCESS | KV[0011] 저장 완료, 처리=2.48초, 대기=0.00초
[543.00] WORKER3 | PROC | SUCCESS | KV[0014] 저장 완료, 처리=2.07초, 대기=0.00초
[547.70] WORKER3 | PROC | FAIL | KV[0020] 처리 실패, 20% 규칙
[552.03] WORKER3 | PROC | SUCCESS | KV[0035] 저장 완료, 처리=1.33초, 대기=0.00초
[556.87] WORKER3 | PROC | SUCCESS | KV[0038] 저장 완료, 처리=1.84초, 대기=0.00초
[561.87] WORKER3 | RECV | INFO | KV[0328] 일반 작업 수신, 대기열=1/10
[562.87] WORKER3 | RECV | INFO | KV[0329] 일반 작업 수신, 대기열=1/10
[563.87] WORKER3 | RECV | INFO | KV[0330] 일반 작업 수신, 대기열=1/10
[565.87] WORKER3 | RECV | INFO | KV[0332] 일반 작업 수신, 대기열=1/10
[567.87] WORKER3 | RECV | INFO | KV[0334] 일반 작업 수신, 대기열=1/10
[569.87] WORKER3 | RECV | INFO | KV[0336] 일반 작업 수신, 대기열=1/10
[571.87] WORKER3 | RECV | INFO | KV[0338] 일반 작업 수신, 대기열=1/10
[573.87] WORKER3 | RECV | INFO | KV[0340] 일반 작업 수신, 대기열=1/10
[575.87] WORKER3 | RECV | INFO | KV[0342] 일반 작업 수신, 대기열=1/10
[577.87] WORKER3 | RECV | INFO | KV[0344] 일반 작업 수신, 대기열=1/10
[1567.92] WORKER3 | RECV | INFO | KV[0896] 일반 작업 수신, 대기열=1/10
[1568.92] WORKER3 | RECV | INFO | KV[0897] 일반 작업 수신, 대기열=2/10
[1569.92] WORKER3 | RECV | INFO | KV[0898] 일반 작업 수신, 대기열=1/10
[1570.92] WORKER3 | RECV | INFO | KV[0899] 일반 작업 수신, 대기열=1/10
[1571.92] WORKER3 | RECV | INFO | KV[0900] 일반 작업 수신, 대기열=1/10
[1572.92] WORKER3 | RECV | INFO | KV[0901] 일반 작업 수신, 대기열=1/10
[1573.92] WORKER3 | RECV | INFO | KV[0902] 일반 작업 수신, 대기열=1/10
[1574.92] WORKER3 | RECV | INFO | KV[0903] 일반 작업 수신, 대기열=1/10
[1575.92] WORKER3 | RECV | INFO | KV[0904] 일반 작업 수신, 대기열=1/10
[1578.98] WORKER3 | PROC | SUCCESS | KV[0059] 저장 완료, 처리=1.06초, 대기=0.00초
[1579.98] WORKER3 | RECV | INFO | KV[0905] 일반 작업 수신, 대기열=1/10
[1580.98] WORKER3 | RECV | INFO | KV[0906] 일반 작업 수신, 대기열=1/10
[1581.98] WORKER3 | RECV | INFO | KV[0907] 일반 작업 수신, 대기열=1/10
[1582.98] WORKER3 | RECV | INFO | KV[0908] 일반 작업 수신, 대기열=1/10
[1583.98] WORKER3 | RECV | INFO | KV[0909] 일반 작업 수신, 대기열=1/10
[1584.98] WORKER3 | RECV | INFO | KV[0910] 일반 작업 수신, 대기열=1/10
[1585.98] WORKER3 | RECV | INFO | KV[0911] 일반 작업 수신, 대기열=1/10
[1586.98] WORKER3 | RECV | INFO | KV[0912] 일반 작업 수신, 대기열=1/10
[1587.98] WORKER3 | RECV | INFO | KV[0913] 일반 작업 수신, 대기열=1/10
[1588.98] WORKER3 | RECV | INFO | KV[0914] 일반 작업 수신, 대기열=1/10
[1590.98] WORKER3 | RECV | INFO | KV[0915] 일반 작업 수신, 대기열=1/10
[1591.98] WORKER3 | RECV | INFO | KV[0916] 일반 작업 수신, 대기열=2/10
[1592.98] WORKER3 | RECV | INFO | KV[0917] 일반 작업 수신, 대기열=3/10
[1593.98] WORKER3 | RECV | INFO | KV[0918] 일반 작업 수신, 대기열=1/10
[1594.98] WORKER3 | RECV | INFO | KV[0919] 일반 작업 수신, 대기열=1/10
[1595.98] WORKER3 | RECV | INFO | KV[0920] 일반 작업 수신, 대기열=1/10
[1596.98] WORKER3 | RECV | INFO | KV[0921] 일반 작업 수신, 대기열=1/10
[1597.98] WORKER3 | RECV | INFO | KV[0922] 일반 작업 수신, 대기열=2/10
[1598.98] WORKER3 | RECV | INFO | KV[0923] 일반 작업 수신, 대기열=1/10
[1599.98] WORKER3 | RECV | INFO | KV[0924] 일반 작업 수신, 대기열=1/10
[1611.98] WORKER3 | RECV | INFO | KV[0934] 일반 작업 수신, 대기열=1/10
[1612.98] WORKER3 | RECV | INFO | KV[0935] 일반 작업 수신, 대기열=1/10
[1613.98] WORKER3 | RECV | INFO | KV[0936] 일반 작업 수신, 대기열=1/10
[1614.98] WORKER3 | RECV | INFO | KV[0937] 일반 작업 수신, 대기열=1/10
[1615.98] WORKER3 | RECV | INFO | KV[0938] 일반 작업 수신, 대기열=1/10
[1616.98] WORKER3 | RECV | INFO | KV[0939] 일반 작업 수신, 대기열=1/10
[1617.98] WORKER3 | RECV | INFO | KV[0940] 일반 작업 수신, 대기열=1/10
[1618.98] WORKER3 | RECV | INFO | KV[0941] 일반 작업 수신, 대기열=1/10
[1619.98] WORKER3 | RECV | INFO | KV[0942] 일반 작업 수신, 대기열=1/10
[1623.88] WORKER3 | PROC | SUCCESS | KV[0060] 저장 완료, 처리=1.90초, 대기=0.06초
[1624.88] WORKER3 | RECV | INFO | KV[0943] 일반 작업 수신, 대기열=1/10
[1625.88] WORKER3 | RECV | INFO | KV[0944] 일반 작업 수신, 대기열=1/10
[1626.88] WORKER3 | RECV | INFO | KV[0945] 일반 작업 수신, 대기열=1/10
[1627.88] WORKER3 | RECV | INFO | KV[0946] 일반 작업 수신, 대기열=1/10
[1628.88] WORKER3 | RECV | INFO | KV[0947] 일반 작업 수신, 대기열=1/10
[1629.88] WORKER3 | RECV | INFO | KV[0948] 일반 작업 수신, 대기열=1/10
[1630.88] WORKER3 | RECV | INFO | KV[0949] 일반 작업 수신, 대기열=1/10
[1631.88] WORKER3 | RECV | INFO | KV[0950] 일반 작업 수신, 대기열=1/10
[1632.88] WORKER3 | RECV | INFO | KV[0951] 일반 작업 수신, 대기열=1/10
[1633.88] WORKER3 | RECV | INFO | KV[0952] 일반 작업 수신, 대기열=2/10
[1635.88] WORKER3 | RECV | INFO | KV[0953] 일반 작업 수신, 대기열=1/10
[1636.88] WORKER3 | RECV | INFO | KV[0954] 일반 작업 수신, 대기열=1/10
[1637.88] WORKER3 | RECV | INFO | KV[0955] 일반 작업 수신, 대기열=1/10
[1638.88] WORKER3 | RECV | INFO | KV[0956] 일반 작업 수신, 대기열=1/10
[1639.88] WORKER3 | RECV | INFO | KV[0957] 일반 작업 수신, 대기열=1/10
[1640.88] WORKER3 | RECV | INFO | KV[0958] 일반 작업 수신, 대기열=1/10
[1641.88] WORKER3 | RECV | INFO | KV[0959] 일반 작업 수신, 대기열=1/10
[1642.88] WORKER3 | RECV | INFO | KV[0960] 일반 작업 수신, 대기열=1/10
[1643.88] WORKER3 | RECV | INFO | KV[0961] 일반 작업 수신, 대기열=1/10
[1644.88] WORKER3 | RECV | INFO | KV[0962] 일반 작업 수신, 대기열=1/10
[1646.88] WORKER3 | RECV | INFO | KV[0963] 일반 작업 수신, 대기열=1/10
[1647.88] WORKER3 | RECV | INFO | KV[0964] 일반 작업 수신, 대기열=1/10
[1648.88] WORKER3 | RECV | INFO | KV[0965] 일반 작업 수신, 대기열=1/10
[1649.88] WORKER3 | RECV | INFO | KV[0966] 일반 작업 수신, 대기열=1/10
[1650.88] WORKER3 | RECV | INFO | KV[0967] 일반 작업 수신, 대기열=1/10
[1651.88] WORKER3 | RECV | INFO | KV[0968] 일반 작업 수신, 대기열=1/10
[1652.88] WORKER3 | RECV | INFO | KV[0969] 일반 작업 수신, 대기열=1/10
[1653.88] WORKER3 | RECV | INFO | KV[0970] 일반 작업 수신, 대기열=1/10
[1654.88] WORKER3 | RECV | INFO | KV[0971] 일반 작업 수신, 대기열=1/10
[1659.83] WORKER3 | PROC | SUCCESS | KV[0061] 저장 완료, 처리=2.95초, 대기=0.96초
